id,course_code,cl_no,course_name,cl_day,cl_start,cl_end,cl_room,lecturer
265,CCEN 4004,14,English for Academic and Professional Purposes Part I,4,11:30,12:50,KEC 509,
266,CCEN 4004,15,English for Academic and Professional Purposes Part I,1,11:30,12:50,KEC 808,
267,CCEN 4004,15,English for Academic and Professional Purposes Part I,4,08:30,09:50,KEC 510,
268,CCEN 4004,16,English for Academic and Professional Purposes Part I,1,13:00,14:20,KEC 808,
269,CCEN 4004,16,English for Academic and Professional Purposes Part I,4,11:30,12:50,KEC 702,
270,CCEN 4004,17,English for Academic and Professional Purposes Part I,3,13:00,14:20,KEC 508,
271,CCEN 4004,17,English for Academic and Professional Purposes Part I,5,13:00,14:20,KEC 602,
272,CCEN 4004,18,English for Academic and Professional Purposes Part I,2,08:30,09:50,KEC 509,
273,CCEN 4004,18,English for Academic and Professional Purposes Part I,4,13:00,14:20,KEC 907,
274,CCEN 4004,19,English for Academic and Professional Purposes Part I,4,08:30,09:50,KEC 805,
275,CCEN 4004,19,English for Academic and Professional Purposes Part I,5,11:30,12:50,KEC 606,
276,CCEN 4004,20,English for Academic and Professional Purposes Part I,1,14:30,15:50,KEC 703,
277,CCEN 4004,20,English for Academic and Professional Purposes Part I,2,10:00,11:20,KEC 703,
278,CCEN 4004,21,English for Academic and Professional Purposes Part I,2,11:30,12:50,KEC 703,
279,CCEN 4004,21,English for Academic and Professional Purposes Part I,5,13:00,14:20,KEC 606,
280,CCEN 4004,22,English for Academic and Professional Purposes Part I,1,10:00,11:20,KEC 703,
281,CCEN 4004,22,English for Academic and Professional Purposes Part I,5,08:30,09:50,KEC 602,
282,CCEN 4004,23,English for Academic and Professional Purposes Part I,1,11:30,12:50,KEC 703,
283,CCEN 4004,23,English for Academic and Professional Purposes Part I,4,11:30,12:50,KEC 706,
284,CCEN 4004,24,English for Academic and Professional Purposes Part I,2,11:30,12:50,KEC 707,
285,CCEN 4004,24,English for Academic and Professional Purposes Part I,4,11:30,12:50,KEC 703,
286,CCEN 4004,25,English for Academic and Professional Purposes Part I,2,10:00,11:20,KEC 707,
287,CCEN 4004,25,English for Academic and Professional Purposes Part I,3,14:30,15:50,KEC 805,
288,CCEN 4004,26,English for Academic and Professional Purposes Part I,1,14:30,15:50,KEC 702,
289,CCEN 4004,26,English for Academic and Professional Purposes Part I,4,08:30,09:50,KEC 605,
290,CCEN 4004,27,English for Academic and Professional Purposes Part I,1,11:30,12:50,KEC 602,
291,CCEN 4004,27,English for Academic and Professional Purposes Part I,5,16:00,17:20,KEC 605,
292,CCEN 4004,28,English for Academic and Professional Purposes Part I,2,10:00,11:20,KEC 702,
293,CCEN 4004,28,English for Academic and Professional Purposes Part I,4,16:00,17:20,KEC 602,
294,CCEN 4004,29,English for Academic and Professional Purposes Part I,1,08:30,09:50,KEC 504,
295,CCEN 4004,29,English for Academic and Professional Purposes Part I,3,11:30,12:50,KEC 504,
296,CCEN 4004,30,English for Academic and Professional Purposes Part I,2,11:30,12:50,KEC 606,
297,CCEN 4004,30,English for Academic and Professional Purposes Part I,4,14:30,15:50,KEC 605,
298,CCEN 4004,31,English for Academic and Professional Purposes Part I,1,14:30,15:50,KEC 504,
299,CCEN 4004,31,English for Academic and Professional Purposes Part I,4,11:30,12:50,KEC 506,
300,CCEN 4004,32,English for Academic and Professional Purposes Part I,4,16:00,17:20,KEC 605,
301,CCEN 4004,32,English for Academic and Professional Purposes Part I,5,16:00,17:20,KEC 702,
302,CCEN 4004,33,English for Academic and Professional Purposes Part I,1,11:30,12:50,KEC 805,
303,CCEN 4004,33,English for Academic and Professional Purposes Part I,4,08:30,09:50,KEC 602,
304,CCEN 4004,34,English for Academic and Professional Purposes Part I,4,14:30,15:50,KEC 710,
305,CCEN 4004,34,English for Academic and Professional Purposes Part I,5,16:00,17:20,KEC 505,
306,CCEN 4004,35,English for Academic and Professional Purposes Part I,3,10:00,11:20,KEC 710,
307,CCEN 4004,35,English for Academic and Professional Purposes Part I,4,13:00,14:20,KEC 710,
308,CCEN 4004,36,English for Academic and Professional Purposes Part I,3,11:30,12:50,KEC 710,
